key,document_id,transform_number,L01,L02,L04,L05,S01,S02,S03,S06,S08,R01,M01,D04,D05,C01,C02,F04,F05,F06,F01,R06,R07,P01
t10:real_claude_b015_P2_r1,real_claude_b015_P2_r1,10,274.01527650473577,0.9069987849331713,0.6909871244635193,0.7075688073394495,11.473684210526315,0.6193143032512638,9,6.578947368421052,0.02631578947368421,0.6193143032512638,0.07824853805570606,9.174311926605505,1.146788990825688,4.909983633387888,9.00163666121113,0.0,0.0,0.0,17.18494271685761,0.8183306055646481,1.6366612111292962,0.27086743044189854
t10:real_claude_b018_P3_r2,real_claude_b018_P3_r2,10,174.700900578688,0.8843043043043043,0.62217659137577,0.6755725190839694,14.356164383561644,0.5229870442613174,8,0.0,0.0273972602739726,0.5229870442613174,0.06999307660183973,5.7251908396946565,0.0,1.8518518518518519,0.0,0.0,0.0,0.0,6.481481481481482,1.8518518518518519,0.0,0.011111111111111072
t10:real_claude_b024_P1_r2,real_claude_b024_P1_r2,10,196.87475832527494,0.8841513513513514,0.6353944562899787,0.702258726899384,9.938775510204081,0.7677405366768514,10,4.081632653061225,0.030612244897959183,0.7677405366768514,0.07448352803795306,2.0533880903490758,0.0,2.4979184013322233,10.824313072439633,0.0,0.0,0.0,24.146544546211487,0.832639467110741,1.665278934221482,0.14654454621149038
t10:real_claude_b025_P2_r1,real_claude_b025_P2_r1,10,145.1059620373039,0.8525343811394892,0.6456140350877193,0.6559139784946236,12.976744186046512,0.605492715009102,11,4.545454545454546,0.045454545454545456,0.605492715009102,0.08085465252335737,14.336917562724015,3.5842293906810037,3.3030553261767133,2.477291494632535,0.0,0.0,0.0,15.689512799339388,0.8257638315441783,3.3030553261767133,0.5202312138728324
t10:real_claude_b034_P2_r2,real_claude_b034_P2_r2,10,220.02166390624697,0.9034305317324186,0.6705882352941176,0.7215189873417721,11.087719298245615,0.7144952263720736,9,12.068965517241379,0.0,0.7144952263720736,0.07702634881660055,7.9113924050632916,3.1645569620253164,2.2624434389140275,5.279034690799397,0.0,0.0,0.0,12.066365007541478,0.7541478129713424,13.574660633484163,0.502262443438914
t10:real_claude_b040_P3_r2,real_claude_b040_P3_r2,10,189.68042804127901,0.8798328108672936,0.6646090534979424,0.658051689860835,12.419753086419753,0.6334618318657439,11,3.7037037037037037,0.037037037037037035,0.6334618318657439,0.0828349617102981,7.952286282306163,0.0,3.8424591738712777,0.0,0.0,0.0,0.0,7.684918347742555,0.9606147934678194,0.0,0.00672430355427478
t10:real_claude_b042_P3_r2,real_claude_b042_P3_r2,10,193.52204176334106,0.870736629667003,0.6871401151631478,0.6625,15.294117647058824,0.6593909553830554,13,4.411764705882353,0.029411764705882353,0.6593909553830554,0.06173657028296042,8.653846153846153,0.0,1.8726591760299625,4.681647940074906,0.0,0.0,0.0,4.681647940074906,1.8726591760299625,0.0,0.0074906367041198685
t10:real_claude_b045_P3_r1,real_claude_b045_P3_r1,10,210.34583216739733,0.8852696728558798,0.6660808435852372,0.6983050847457627,12.688172043010752,0.6980944294341416,9,3.225806451612903,0.053763440860215055,0.6980944294341416,0.06721093221487573,5.084745762711864,0.0,12.295081967213115,0.0,0.0,0.0,0.0,15.573770491803279,1.639344262295082,0.0,0.00901639344262295
t11:deepseek_pro_b002_P3_r1,deepseek_pro_b002_P3_r1,11,79.37271354999112,0.7545502645502646,0.4843462246777164,0.6681614349775785,14.063063063063064,0.4703398178473405,11,2.6548672566371683,0.504424778761062,0.4703398178473405,0.20035917475918197,7.046764894298526,0.0,10.1716465352829,10.80737444373808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11:deepseek_pro_b004_P2_r1,deepseek_pro_b004_P2_r1,11,90.34589997019967,0.7869284064665127,0.44148936170212766,0.6530039303761932,12.81294964028777,0.6681857594105512,10,5.755395683453237,0.460431654676259,0.6681857594105512,0.17271775595006056,10.668163952835485,2.2459292532285233,4.117108874656907,6.404391582799634,0.0,0.0,0.0,14.181152790484903,0.0,2.7447392497712717,0.18298261665141813
t11:deepseek_pro_b007_P3_r2,deepseek_pro_b007_P3_r2,11,67.64145434363003,0.7400392734413354,0.46529968454258674,0.716203259827421,11.21505376344086,0.6359071261525834,11,4.301075268817204,0.46774193548387094,0.6359071261525834,0.20130808701895203,9.108341323106425,0.0,2.794597112249651,2.794597112249651,0.0,0.0,0.0,5.123428039124359,0.0,0.0,0.0
t11:deepseek_pro_b009_P1_r1,deepseek_pro_b009_P1_r1,11,82.72088279387549,0.7792318371124479,0.4737609329446064,0.6411764705882353,13,0.5981309075885091,10,8.235294117647058,0.4823529411764706,0.5981309075885091,0.19021800460050903,7.6923076923076925,0.45248868778280543,6.72645739910314,20.17937219730942,0.0,0.0,1.0,6.726457399103139,0.4484304932735426,0.0,0.008968609865470878
t11:deepseek_pro_b009_P2_r2,deepseek_pro_b009_P2_r2,11,89.86889506769825,0.7962258543833581,0.4862204724409449,0.7075268817204301,12.455357142857142,0.5949724461342676,9,7.142857142857143,0.44642857142857145,0.5949724461342676,0.17019620118213818,7.168458781362007,2.867383512544803,8.94736842105263,6.315789473684211,0.0,0.0,0.0,10.526315789473683,0.0,0.0,0.24894736842105258
t11:deepseek_pro_b021_P2_r2,deepseek_pro_b021_P2_r2,11,73.67034063799898,0.7616216216216216,0.5212355212355212,0.7072310405643739,10.903846153846153,0.500761757886829,7,11.538461538461538,0.5,0.500761757886829,0.19873483224519745,3.527336860670194,0.0,4.488330341113106,3.5906642728904847,0.0,0.0,0.0,6.283662477558348,0.0,5.385996409335727,0.481149012567325
t11:deepseek_pro_b037_P2_r2,deepseek_pro_b037_P2_r2,11,94.41829741198954,0.7888467374810318,0.5408695652173913,0.7147037307973665,10.763779527559056,0.5711974708099596,9,0.78125,0.4140625,0.5711974708099596,0.19378218847099005,4.389173372348208,1.463057790782736,5.1652892561983474,3.6157024793388426,0.0,0.0,1.0,23.760330578512395,0.0,4.132231404958677,0.28099173553719003
t11:deepseek_pro_b038_P1_r2,deepseek_pro_b038_P1_r2,11,86.67728282154312,0.7813970588235294,0.5270588235294118,0.6403684421305567,11.247747747747749,0.6972715190206306,12,4.0358744394618835,0.4484304932735426,0.6972715190206306,0.20643738823647664,8.41009211053264,4.004805766920304,6.692913385826771,8.267716535433072,0.9671179883945842,0.0,1.0,5.511811023622047,0.3937007874015748,0.0,0.006299212598425252
