document_id,transform_number,origin_class,genre,n_models,mean_delta_prob,instability_rate,flip_rate,max_abs_delta
deepseek_pro_b021_P2_r2,5,A,analytics,3,0.0000000000,0.000000,0.000000,0.0000000000
deepseek_pro_b021_P2_r2,10,A,analytics,3,-0.1272085723,1.000000,0.000000,0.1675367457
deepseek_pro_b021_P2_r2,11,A,analytics,3,-0.9735156977,1.000000,1.000000,0.9999502525
deepseek_pro_b021_P2_r2,13,A,analytics,3,0.0021020738,0.000000,0.000000,0.0058215357
deepseek_pro_b021_P2_r2,15,A,analytics,3,0.0000000000,0.000000,0.000000,0.0000000000
deepseek_pro_b021_P2_r2,16,A,analytics,3,-0.1309193883,0.666667,0.000000,0.3128997518
deepseek_pro_b037_P2_r2,1,A,commercial,4,-0.0000032428,0.000000,0.000000,0.0000129484
deepseek_pro_b037_P2_r2,2,A,commercial,4,-0.0114351340,0.000000,0.000000,0.0321190287
deepseek_pro_b037_P2_r2,3,A,commercial,4,-0.0036738600,0.000000,0.000000,0.0146301756
deepseek_pro_b037_P2_r2,4,A,commercial,4,-0.0009878299,0.000000,0.000000,0.0039429544
deepseek_pro_b037_P2_r2,5,A,commercial,4,-0.0000012722,0.000000,0.000000,0.0000050453
deepseek_pro_b037_P2_r2,10,A,commercial,4,-0.0115306961,0.000000,0.000000,0.0459967914
deepseek_pro_b037_P2_r2,11,A,commercial,4,-0.6537848787,0.750000,0.750000,0.9244311586
deepseek_pro_b037_P2_r2,13,A,commercial,4,-0.0000536763,0.000000,0.000000,0.0002140938
deepseek_pro_b037_P2_r2,15,A,commercial,4,0.0000337691,0.000000,0.000000,0.0001349619
deepseek_pro_b037_P2_r2,16,A,commercial,4,-0.0073499705,0.000000,0.000000,0.0293866247
deepseek_pro_b038_P1_r2,1,A,commercial,3,-0.0001297022,0.000000,0.000000,0.0002936160
deepseek_pro_b038_P1_r2,2,A,commercial,3,-0.0717759634,0.333333,0.000000,0.1540161207
deepseek_pro_b038_P1_r2,3,A,commercial,3,-0.0661823610,0.666667,0.000000,0.1161485058
deepseek_pro_b038_P1_r2,4,A,commercial,3,0.0104603665,0.000000,0.000000,0.0247549511
deepseek_pro_b038_P1_r2,5,A,commercial,3,-0.0050141155,0.000000,0.000000,0.0085714305
deepseek_pro_b038_P1_r2,10,A,commercial,3,-0.1269998865,0.666667,0.000000,0.2201906827
deepseek_pro_b038_P1_r2,11,A,commercial,3,-0.9258748674,1.000000,1.000000,0.9975397619
deepseek_pro_b038_P1_r2,13,A,commercial,3,-0.0089319275,0.000000,0.000000,0.0212201758
deepseek_pro_b038_P1_r2,15,A,commercial,3,0.0005924962,0.000000,0.000000,0.0018890422
deepseek_pro_b038_P1_r2,16,A,commercial,3,-0.0663572636,0.666667,0.000000,0.1265703231
gpt_b004_P1_r1,1,A,seo,4,-0.0008755708,0.000000,0.000000,0.0014823505
gpt_b004_P1_r1,2,A,seo,4,0.0000000000,0.000000,0.000000,0.0000000000
