Величина,Macro-среднее по 18 holdout,Размах по holdout,Худший holdout,Статус величины
Brier,0.0365,0.0109–0.1796,genre_seo,зарегистрированная метрика
"ECE, 10 бинов",0.0571,0.0113–0.1973,genre_seo,описательная
"MCE, 10 бинов",0.2647,0.0523–0.7548,genre_seo,описательная
Риск при покрытии 100%,0.0468,0.0173–0.2014,genre_seo,описательная
Риск при покрытии 90%,0.0189,0.0000–0.1774,genre_seo,описательная
Риск при покрытии 80%,0.0124,0.0000–0.1425,genre_seo,описательная
Риск при покрытии 70%,0.0085,0.0000–0.1076,genre_seo,описательная
Риск при покрытии 50%,0.0059,0.0000–0.0854,genre_seo,описательная
