Процедура,Вход,Происхождение весов,Шкала,Направление после конвенции,Статус в регистрации,Правило события нестабильности
1 — индекс стиля,матрица признаков,веса заданы до сбора данных,0–100 пунктов,рост значения означает рост машиноподобия,confirmatory,|Δ| > 5.0 пункта; ровно 5.0 событием не считается
2 — классификатор,та же матрица признаков,веса обучены по данным,"вероятность класса A, 0–1",рост значения означает рост машиноподобия,exploratory,|Δp| > 0.05 и смена решения относительно порога
3 — zero-shot NLL,сырой текст профиля prose,"весов нет, метрика модели",средний token NLL,снижение значения означает рост машиноподобия,exploratory,"бинарный порог не применяется, публикуется непрерывное ΔNLL"
4 — модель-судья,сырой текст профиля prose,рубрика задана до прогона,0–100 шкалы рубрики,рост значения означает рост машиноподобия,exploratory,|Δ| > 5.0 пункта по медиане трёх сидов
