Вариант модели,Что входит в признаки,Holdout с определённым AUROC,Медиана AUROC,Размах AUROC,Медиана FPR,"Контраст P3 − P1, полная матрица","Контраст P3 − P1, без структурных признаков"
source-only,только идентификатор площадки,13 из 18,1.0000,0.5000–1.0000,1.0000,—,—
main+M02,плюс признак сходства абзацев,13 из 18,0.9979,0.9606–1.0000,0.0332,—,—
main,22 признака стиля,13 из 18,0.9973,0.9433–1.0000,0.0380,"−0.0941 [−0.1473; −0.0463], p = 0.0028","+0.0169 [−0.0134; 0.0496], p = 0.3168"
format-only,четыре структурных признака,13 из 18,0.9775,0.9154–1.0000,0.0118,—,—
genre-only,только жанр,13 из 18,0.6667,0.5000–0.7259,1.0000,—,—
length-only,только длина текста,13 из 18,0.4364,0.2957–0.6138,0.6276,—,—
negative-control,перемешанные метки классов,13 из 13,0.3614,0.1279–0.4440,—,—,—
