document_id,feature_id,genre_percentile
deepseek_pro_b001_P2_r1,L01,0.6684
deepseek_pro_b001_P2_r1,L02,0.9831
deepseek_pro_b001_P2_r1,L03,0.6142
deepseek_pro_b001_P2_r1,L04,0.8663
deepseek_pro_b001_P2_r1,L05,0.4772
deepseek_pro_b001_P2_r1,L06,0.6345
deepseek_pro_b001_P2_r1,L07,0.9357
deepseek_pro_b001_P2_r1,L08,0.4941
deepseek_pro_b001_P2_r1,L09,0.3401
deepseek_pro_b001_P2_r1,M01,0.0677
deepseek_pro_b001_P2_r1,M02,0.4196
deepseek_pro_b001_P2_r1,M05,0.9763
deepseek_pro_b001_P2_r1,P01,0.8849
deepseek_pro_b001_P2_r1,R01,0.0085
deepseek_pro_b001_P2_r1,R02,0.1861
deepseek_pro_b001_P2_r1,R03,0.3706
deepseek_pro_b001_P2_r1,R04,0.0931
deepseek_pro_b001_P2_r1,R05,0.9949
deepseek_pro_b001_P2_r1,R06,0.9374
deepseek_pro_b001_P2_r1,R07,0.7073
deepseek_pro_b001_P2_r1,S01,0.8206
deepseek_pro_b001_P2_r1,S02,0.0085
deepseek_pro_b001_P2_r1,S03,0.1134
deepseek_pro_b001_P2_r1,S04,0.4636
deepseek_pro_b001_P2_r1,S05,0.9983
deepseek_pro_b001_P2_r1,S06,0.3012
deepseek_pro_b001_P2_r1,S07,0.7936
deepseek_pro_b001_P2_r1,S08,0.3723
deepseek_pro_b001_P2_r1,S09,0.0102
deepseek_pro_b001_P2_r1,S10,0.0000
deepseek_pro_b001_P2_r1,X01,0.0000
deepseek_pro_b001_P2_r1,X02,0.8553
deepseek_pro_b001_P2_r1,X05,0.5000
deepseek_pro_b001_P2_r2,C01,0.2267
deepseek_pro_b001_P2_r2,C02,0.1201
deepseek_pro_b001_P2_r2,C03,0.0000
deepseek_pro_b001_P2_r2,C05,0.7614
deepseek_pro_b001_P2_r2,C06,0.2047
deepseek_pro_b001_P2_r2,D04,0.8985
deepseek_pro_b001_P2_r2,D05,0.7242
deepseek_pro_b001_P2_r2,F01,0.7360
