n,n_machine,n_human,tpr_at_1pct_fpr,tpr_at_5pct_fpr,mcc,balanced_accuracy,auroc,fpr,fpr_ci_low,fpr_ci_high,fpr_hard_human,fpr_HH-formal-register,fpr_HH-polished,fpr_HH-translation,split,model,estimand,C,inner_auc,n_features,status,inner_folds_total,inner_folds_used,inner_folds_skipped,c_rebuilt,c_changed_by_rebuild,n_permutations,auroc_sd,auroc_min,auroc_max
752,360,392,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_commercial,source-only,full,0.1,0.5009,25,зарегистрирован до прогона,3,3,,0.1,0,,,,
752,360,392,0.8833333333333333,0.95,0.8843999276169411,0.9378401360544217,0.9772037981859409,0.007653061224489796,0.0,0.023054755043227664,0.007653061224489796,0.011976047904191617,0.0,0.0136986301369863,holdout_genre_commercial,format-only,full,1.0,0.9742,4,зарегистрирован до прогона,3,3,,10.0,1,,,,
752,360,392,0.9805555555555555,0.9944444444444445,0.9472674050475529,0.9740362811791383,0.9986040249433106,0.04081632653061224,0.015463917525773196,0.08629441624365482,0.04081632653061224,0.0718562874251497,0.013157894736842105,0.0273972602739726,holdout_genre_commercial,main+M02,full,1.0,0.9956,23,зарегистрирован до прогона,3,3,,1.0,0,,,,
,,,,,,,0.36137152777777776,,,,,,,,holdout_genre_commercial,negative-control,full,,,,post hoc: серия кластерных перестановок вместо одной,,,,,,20,0.33849286024601777,0.0006235827664399087,0.9512755102040816
392,0,392,,,,,,0.04081632653061224,0.015296367112810707,0.08900523560209424,0.04081632653061224,0.0658682634730539,0.013157894736842105,0.0410958904109589,holdout_genre_news,main,full,0.1,0.9954,22,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.1,0,,,,
392,0,392,,,,,,0.07908163265306123,0.05,0.1330049261083744,0.07908163265306123,0.09580838323353294,0.05263157894736842,0.0958904109589041,holdout_genre_news,main,net,0.01,0.9751,18,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.01,0,,,,
392,0,392,,,,,,0.6275510204081632,0.3887884267631103,0.8515151515151516,0.6275510204081632,0.2275449101796407,0.9407894736842105,0.8904109589041096,holdout_genre_news,length-only,full,0.01,0.524,4,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.01,0,,,,
392,0,392,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_news,genre-only,full,0.01,0.9062,4,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.01,0,,,,
392,0,392,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_news,source-only,full,0.01,0.5,25,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.01,0,,,,
392,0,392,,,,,,0.01020408163265306,0.0,0.03214285714285714,0.01020408163265306,0.017964071856287425,0.0,0.0136986301369863,holdout_genre_news,format-only,full,1.0,0.9732,4,"post hoc: тест одноклассовый, определим только FPR",3,2,0,10.0,1,,,,
392,0,392,,,,,,0.03316326530612245,0.011204481792717087,0.07174887892376682,0.03316326530612245,0.05389221556886228,0.013157894736842105,0.0273972602739726,holdout_genre_news,main+M02,full,0.1,0.996,23,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.1,0,,,,
572,0,572,,,,,,0.08216783216783216,0.05401844532279315,0.12325581395348838,0.08163265306122448,0.11377245508982035,0.046052631578947366,0.0821917808219178,holdout_genre_prose,main,full,1.0,0.999,22,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.1,1,,,,
572,0,572,,,,,,0.1853146853146853,0.12228260869565218,0.25267993874425726,0.14540816326530612,0.09580838323353294,0.17763157894736842,0.1917808219178082,holdout_genre_prose,main,net,0.01,0.9941,18,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.01,0,,,,
572,0,572,,,,,,0.8391608391608392,0.7582417582417582,0.9153225806451613,0.8673469387755102,0.7125748502994012,0.993421052631579,0.958904109589041,holdout_genre_prose,length-only,full,0.1,0.7579,4,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.1,0,,,,
572,0,572,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_prose,genre-only,full,0.01,0.8333,3,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.01,0,,,,
572,0,572,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_prose,source-only,full,0.01,0.5,22,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.01,0,,,,
572,0,572,,,,,,0.006993006993006993,0.0015698587127158557,0.01507537688442211,0.01020408163265306,0.017964071856287425,0.0,0.0136986301369863,holdout_genre_prose,format-only,full,1.0,0.9827,4,"post hoc: тест одноклассовый, определим только FPR",3,2,0,10.0,1,,,,
572,0,572,,,,,,0.08216783216783216,0.051771117166212535,0.11883408071748879,0.06887755102040816,0.0718562874251497,0.05263157894736842,0.0958904109589041,holdout_genre_prose,main+M02,full,10.0,0.9995,23,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.01,1,,,,
392,0,392,,,,,,0.04081632653061224,0.015296367112810707,0.08900523560209424,0.04081632653061224,0.0658682634730539,0.013157894736842105,0.0410958904109589,holdout_genre_science,main,full,0.1,0.9954,22,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.1,0,,,,
392,0,392,,,,,,0.07908163265306123,0.05,0.1330049261083744,0.07908163265306123,0.09580838323353294,0.05263157894736842,0.0958904109589041,holdout_genre_science,main,net,0.01,0.9751,18,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.01,0,,,,
392,0,392,,,,,,0.6275510204081632,0.3887884267631103,0.8515151515151516,0.6275510204081632,0.2275449101796407,0.9407894736842105,0.8904109589041096,holdout_genre_science,length-only,full,0.01,0.524,4,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.01,0,,,,
392,0,392,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_science,genre-only,full,0.01,0.9062,4,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.01,0,,,,
392,0,392,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_science,source-only,full,0.01,0.5,25,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.01,0,,,,
392,0,392,,,,,,0.01020408163265306,0.0,0.03214285714285714,0.01020408163265306,0.017964071856287425,0.0,0.0136986301369863,holdout_genre_science,format-only,full,1.0,0.9732,4,"post hoc: тест одноклассовый, определим только FPR",3,2,0,10.0,1,,,,
392,0,392,,,,,,0.03316326530612245,0.011204481792717087,0.07174887892376682,0.03316326530612245,0.05389221556886228,0.013157894736842105,0.0273972602739726,holdout_genre_science,main+M02,full,0.1,0.996,23,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.1,0,,,,
983,360,623,0.9,0.9722222222222222,0.8828872771563657,0.9497792937399678,0.9928749777064383,0.0754414125200642,0.04805491990846682,0.11956521739130435,0.08928571428571429,0.15568862275449102,0.02631578947368421,0.0684931506849315,holdout_genre_seo,main,full,0.01,1.0,22,зарегистрирован до прогона,3,2,0,0.01,0,,,,
983,360,623,0.06944444444444445,0.4305555555555556,0.5880893972634554,0.8024478330658106,0.8990190832887462,0.3451043338683788,0.2698412698412698,0.43,0.3392857142857143,0.5688622754491018,0.1513157894736842,0.2054794520547945,holdout_genre_seo,main,net,0.1,0.9982,18,зарегистрирован до прогона,3,2,0,0.1,0,,,,
983,360,623,0.0,0.06388888888888888,0.13662838787729814,0.5635076689851971,0.6137774210807918,0.6757624398073836,0.5037220843672456,0.8291746641074856,0.6198979591836735,0.281437125748503,0.9078947368421053,0.7945205479452054,holdout_genre_seo,length-only,full,0.01,0.7205,4,зарегистрирован до прогона,3,2,0,0.01,0,,,,
983,360,623,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_seo,genre-only,full,0.01,1.0,3,зарегистрирован до прогона,3,2,0,0.01,0,,,,
983,360,623,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_seo,source-only,full,0.01,0.5,7,зарегистрирован до прогона,3,2,0,0.01,0,,,,
983,360,623,0.8777777777777778,0.925,0.8828627067220738,0.9279316033529517,0.9775303192438024,0.008025682182985553,0.0013054830287206266,0.020146520146520148,0.007653061224489796,0.017964071856287425,0.0,0.0,holdout_genre_seo,format-only,full,1.0,0.9997,4,зарегистрирован до прогона,3,2,0,1.0,0,,,,
983,360,623,0.9138888888888889,0.9722222222222222,0.890651308743688,0.952989566613162,0.9938425182807206,0.06902086677367576,0.04294478527607362,0.10869565217391304,0.07908163265306123,0.1437125748502994,0.02631578947368421,0.0410958904109589,holdout_genre_seo,main+M02,full,0.01,1.0,23,зарегистрирован до прогона,3,2,0,0.01,0,,,,
,,,,,,,0.43144662921348315,,,,,,,,holdout_genre_seo,negative-control,full,,,,post hoc: серия кластерных перестановок вместо одной,,,,,,20,0.1841655826617821,0.16995719636169077,0.7696004993757803
392,0,392,,,,,,0.04081632653061224,0.015296367112810707,0.08900523560209424,0.04081632653061224,0.0658682634730539,0.013157894736842105,0.0410958904109589,holdout_genre_translation,main,full,0.1,0.9954,22,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.1,0,,,,
392,0,392,,,,,,0.07908163265306123,0.05,0.1330049261083744,0.07908163265306123,0.09580838323353294,0.05263157894736842,0.0958904109589041,holdout_genre_translation,main,net,0.01,0.9751,18,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.01,0,,,,
392,0,392,,,,,,0.6275510204081632,0.3887884267631103,0.8515151515151516,0.6275510204081632,0.2275449101796407,0.9407894736842105,0.8904109589041096,holdout_genre_translation,length-only,full,0.01,0.524,4,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.01,0,,,,
392,0,392,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_translation,genre-only,full,0.01,0.9062,4,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.01,0,,,,
392,0,392,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_translation,source-only,full,0.01,0.5,25,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.01,0,,,,
392,0,392,,,,,,0.01020408163265306,0.0,0.03214285714285714,0.01020408163265306,0.017964071856287425,0.0,0.0136986301369863,holdout_genre_translation,format-only,full,1.0,0.9732,4,"post hoc: тест одноклассовый, определим только FPR",3,2,0,10.0,1,,,,
392,0,392,,,,,,0.03316326530612245,0.011204481792717087,0.07174887892376682,0.03316326530612245,0.05389221556886228,0.013157894736842105,0.0273972602739726,holdout_genre_translation,main+M02,full,0.1,0.996,23,"post hoc: тест одноклассовый, определим только FPR",3,2,0,0.1,0,,,,
662,270,392,1.0,1.0,0.9633987815706127,0.9846938775510203,1.0,0.030612244897959183,0.010610079575596816,0.06707317073170732,0.030612244897959183,0.04790419161676647,0.013157894736842105,0.0273972602739726,holdout_model_Anthropic,main,full,10.0,0.9955,22,зарегистрирован до прогона,3,3,,0.1,1,,,,
662,270,392,0.5185185185185185,0.8740740740740741,0.8676148793253786,0.9370842781557067,0.9776266061980348,0.07397959183673469,0.043933054393305436,0.12552301255230125,0.07397959183673469,0.10179640718562874,0.05263157894736842,0.0547945205479452,holdout_model_Anthropic,main,net,0.01,0.954,18,зарегистрирован до прогона,3,3,,0.01,0,,,,
662,270,392,0.003703703703703704,0.003703703703703704,0.024984068472886218,0.5122732426303855,0.4402966742252457,0.6198979591836735,0.3780160857908847,0.8424908424908425,0.6198979591836735,0.2155688622754491,0.9407894736842105,0.8767123287671232,holdout_model_Anthropic,length-only,full,0.01,0.6344,4,зарегистрирован до прогона,3,3,,0.01,0,,,,
662,270,392,0.6666666666666666,0.6666666666666666,-0.47795211939924326,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_model_Anthropic,genre-only,full,0.01,0.9062,4,зарегистрирован до прогона,3,3,,0.01,0,,,,
