estimand,contrast,status,n_pairs,dropped_pairs,n_clusters,mean_diff_prob,ci_low,ci_high,p_wild_cluster,p_cluster_sign_flip,limitation
full,P3-P1,exploratory,120,0,15,-0.0941,-0.1473,-0.0463,0.0028,0.0028,120 пар — 15 независимых кластеров; четыре машинных source-кластера дают слабую оценку межканальной обобщаемости
full,P2-P1,exploratory,120,0,15,0.0523,0.0325,0.0738,0.0002,0.0002,120 пар — 15 независимых кластеров; четыре машинных source-кластера дают слабую оценку межканальной обобщаемости
net,P3-P1,exploratory,120,0,15,0.0169,-0.0134,0.0496,0.3168,0.3168,120 пар — 15 независимых кластеров; четыре машинных source-кластера дают слабую оценку межканальной обобщаемости
net,P2-P1,exploratory,120,0,15,0.0722,0.0395,0.1036,0.0014,0.0014,120 пар — 15 независимых кластеров; четыре машинных source-кластера дают слабую оценку межканальной обобщаемости
