document_id,transform_number,origin_class,generation_channel,nll_baseline,nll_transformed,delta_nll,scored_tokens,n_windows,status
human_science_cyberleninka_0053,4,H,,2.257457,2.598881,0.341424,7520,14,ok
human_science_spbgu_0024,4,H,,2.412085,2.670571,0.258486,5512,10,ok
human_science_urfu_0028,4,H,,2.470474,2.470474,0.000000,7712,15,applied_no_change
human_seo_alaev_0004,4,H,,3.119545,3.188143,0.068598,3290,6,ok
human_seo_convertmonster_0001,4,H,,2.423620,2.533178,0.109558,904,1,ok
human_seo_devaka_ru_0004,4,H,,3.158421,3.261872,0.103451,1556,3,ok
human_seo_drmax_0002,4,H,,3.434824,3.594271,0.159447,3308,6,ok
human_seo_drmax_su_0001,4,H,,3.052851,3.101097,0.048246,1645,3,ok
human_seo_labrika_0002,4,H,,2.414394,2.607757,0.193363,2483,4,ok
nemotron_b012_P1_r1,4,A,nemotron,3.423155,3.431602,0.008447,1081,2,ok
nemotron_b015_P3_r2,4,A,nemotron,3.022644,3.071700,0.049056,3736,7,ok
nemotron_b016_P1_r1,4,A,nemotron,3.486115,3.528989,0.042874,1401,2,ok
nemotron_b022_P3_r2,4,A,nemotron,3.302259,3.408295,0.106036,2492,4,ok
nemotron_b028_P1_r2,4,A,nemotron,3.295929,3.429382,0.133453,1958,3,ok
nemotron_b033_P2_r2,4,A,nemotron,3.343024,3.349881,0.006857,672,1,ok
nemotron_b038_P1_r2,4,A,nemotron,3.300879,3.374172,0.073293,2066,4,ok
real_claude_b015_P2_r1,4,A,real_claude,3.276098,3.292085,0.015987,1044,2,ok
real_claude_b018_P3_r2,4,A,real_claude,3.522522,3.544771,0.022249,2195,4,ok
real_claude_b024_P1_r2,4,A,real_claude,3.401401,3.470633,0.069232,1628,3,ok
real_claude_b025_P2_r1,4,A,real_claude,3.284271,3.302192,0.017921,932,1,ok
real_claude_b034_P2_r2,4,A,real_claude,3.274455,3.276828,0.002373,1427,2,ok
real_claude_b040_P3_r2,4,A,real_claude,3.478730,3.517133,0.038403,2064,4,ok
real_claude_b042_P3_r2,4,A,real_claude,3.311909,3.369655,0.057746,2047,3,ok
real_claude_b045_P3_r1,4,A,real_claude,3.477903,3.504945,0.027042,2604,5,ok
deepseek_pro_b002_P3_r1,5,A,deepseek_pro,2.932154,2.962596,0.030442,2195,4,ok
deepseek_pro_b004_P2_r1,5,A,deepseek_pro,2.962420,2.984832,0.022412,1465,2,ok
deepseek_pro_b007_P3_r2,5,A,deepseek_pro,3.047212,3.052023,0.004811,2715,5,ok
deepseek_pro_b009_P1_r1,5,A,deepseek_pro,2.999451,3.030494,0.031043,2941,5,ok
deepseek_pro_b009_P2_r2,5,A,deepseek_pro,2.931191,2.968705,0.037514,1071,2,ok
deepseek_pro_b021_P2_r2,5,A,deepseek_pro,2.957460,2.957460,0.000000,649,1,applied_no_change
deepseek_pro_b037_P2_r2,5,A,deepseek_pro,3.110237,3.112362,0.002125,1224,2,ok
deepseek_pro_b038_P1_r2,5,A,deepseek_pro,3.184690,3.184203,-0.000487,2773,5,ok
gpt_b004_P1_r1,5,A,gpt,3.141123,3.151408,0.010285,1945,3,ok
gpt_b004_P3_r1,5,A,gpt,3.241070,3.243672,0.002602,1934,3,ok
gpt_b021_P3_r2,5,A,gpt,3.423261,3.424178,0.000917,1952,3,ok
gpt_b026_P1_r1,5,A,gpt,2.959196,2.960306,0.001110,2228,4,ok
gpt_b028_P2_r1,5,A,gpt,3.233938,3.232860,-0.001078,1339,2,ok
gpt_b031_P1_r1,5,A,gpt,2.903248,2.920157,0.016909,2211,4,ok
gpt_b040_P2_r1,5,A,gpt,3.096807,3.097878,0.001071,1661,3,ok
human_hard_rusltc_0001,5,H,,3.121580,3.123877,0.002297,1068,2,ok
human_hard_rusltc_0002,5,H,,2.809068,2.813801,0.004733,1350,2,ok
human_hard_rusltc_0003,5,H,,3.290485,3.293714,0.003229,2403,4,ok
human_hard_rusltc_0055,5,H,,2.648841,2.648841,-0.000000,1106,2,applied_no_change
human_hard_rusltc_0068,5,H,,2.655230,2.707124,0.051894,1401,2,ok
human_hard_rusltc_0073,5,H,,3.063622,3.067411,0.003789,2244,4,ok
human_news_buriy_2014_0027,5,H,,2.947762,2.944064,-0.003698,1174,2,ok
human_news_buriy_2014_0034,5,H,,2.498666,2.505453,0.006787,1801,3,ok
human_news_gazeta_0031,5,H,,2.431371,2.448730,0.017359,1326,2,ok
human_news_gazeta_0040,5,H,,2.576308,2.579657,0.003349,1217,2,ok
human_news_lenta_0001,5,H,,2.672448,2.681384,0.008936,1060,2,ok
human_news_lenta_0016,5,H,,2.354553,2.366390,0.011837,1674,3,ok
human_prose_taiga_arzamas_0050,5,H,,2.864683,2.868611,0.003928,2362,4,ok
human_prose_taiga_arzamas_0051,5,H,,2.834851,2.835744,0.000893,2413,4,ok
human_prose_taiga_magazines_0048,5,H,,3.268327,3.267353,-0.000974,6225,12,ok
human_prose_taiga_magazines_0053,5,H,,3.980711,3.921393,-0.059318,1365,2,ok
human_prose_taiga_proza_0034,5,H,,2.506692,2.498216,-0.008476,1172,2,ok
human_prose_taiga_proza_0056,5,H,,3.359663,3.372651,0.012988,1854,3,ok
human_science_cyberleninka_0026,5,H,,2.455090,2.465964,0.010874,3199,6,ok
human_science_cyberleninka_0031,5,H,,2.320432,2.325286,0.004854,2365,4,ok
human_science_cyberleninka_0032,5,H,,2.172165,2.215366,0.043201,2119,4,ok
human_science_cyberleninka_0053,5,H,,2.257457,2.352126,0.094669,8619,16,ok
human_science_spbgu_0024,5,H,,2.412085,2.424766,0.012681,5529,10,ok
human_science_urfu_0028,5,H,,2.470474,2.471895,0.001421,7714,15,ok
human_seo_alaev_0004,5,H,,3.119545,3.108770,-0.010775,3295,6,ok
human_seo_convertmonster_0001,5,H,,2.423620,2.390979,-0.032641,903,1,ok
human_seo_devaka_ru_0004,5,H,,3.158421,3.179147,0.020726,1575,3,ok
human_seo_drmax_0002,5,H,,3.434824,3.455825,0.021001,3306,6,ok
human_seo_drmax_su_0001,5,H,,3.052851,3.000220,-0.052631,958,1,ok
human_seo_labrika_0002,5,H,,2.414394,2.422354,0.007960,2485,4,ok
nemotron_b012_P1_r1,5,A,nemotron,3.423155,3.435294,0.012139,1086,2,ok
nemotron_b015_P3_r2,5,A,nemotron,3.022644,3.076858,0.054214,3949,7,ok
nemotron_b016_P1_r1,5,A,nemotron,3.486115,3.506896,0.020781,1413,2,ok
nemotron_b022_P3_r2,5,A,nemotron,3.302259,3.299792,-0.002467,2511,4,ok
nemotron_b028_P1_r2,5,A,nemotron,3.295929,3.296987,0.001058,1974,3,ok
nemotron_b033_P2_r2,5,A,nemotron,3.343024,3.351346,0.008322,675,1,ok
nemotron_b038_P1_r2,5,A,nemotron,3.300879,3.311862,0.010983,2068,4,ok
real_claude_b015_P2_r1,5,A,real_claude,3.276098,3.281881,0.005783,1019,1,ok
real_claude_b018_P3_r2,5,A,real_claude,3.522522,3.527936,0.005414,2205,4,ok
real_claude_b024_P1_r2,5,A,real_claude,3.401401,3.386831,-0.014570,1636,3,ok
real_claude_b025_P2_r1,5,A,real_claude,3.284271,3.300768,0.016497,929,1,ok
real_claude_b034_P2_r2,5,A,real_claude,3.274455,3.285286,0.010831,1432,2,ok
real_claude_b040_P3_r2,5,A,real_claude,3.478730,3.482782,0.004052,2074,4,ok
real_claude_b042_P3_r2,5,A,real_claude,3.311909,3.318359,0.006450,2055,4,ok
real_claude_b045_P3_r1,5,A,real_claude,3.477903,3.475419,-0.002484,2622,5,ok
deepseek_pro_b002_P3_r1,10,A,deepseek_pro,2.932154,3.228315,0.296161,1471,2,ok
deepseek_pro_b004_P2_r1,10,A,deepseek_pro,2.962420,3.050713,0.088293,2123,4,ok
deepseek_pro_b007_P3_r2,10,A,deepseek_pro,3.047212,3.219278,0.172066,2054,4,ok
deepseek_pro_b009_P1_r1,10,A,deepseek_pro,2.999451,3.151735,0.152284,2141,4,ok
deepseek_pro_b009_P2_r2,10,A,deepseek_pro,2.931191,3.140283,0.209092,1357,2,ok
deepseek_pro_b021_P2_r2,10,A,deepseek_pro,2.957460,3.121524,0.164064,514,1,ok
deepseek_pro_b037_P2_r2,10,A,deepseek_pro,3.110237,3.194921,0.084684,1563,3,ok
deepseek_pro_b038_P1_r2,10,A,deepseek_pro,3.184690,3.348684,0.163994,2383,4,ok
gpt_b004_P1_r1,10,A,gpt,3.141123,3.362323,0.221200,1399,2,ok
gpt_b004_P3_r1,10,A,gpt,3.241070,3.392867,0.151797,1371,2,ok
gpt_b021_P3_r2,10,A,gpt,3.423261,3.607375,0.184114,1422,2,ok
gpt_b026_P1_r1,10,A,gpt,2.959196,3.113325,0.154129,1690,3,ok
gpt_b028_P2_r1,10,A,gpt,3.233938,3.342098,0.108160,851,1,ok
gpt_b031_P1_r1,10,A,gpt,2.903248,3.041965,0.138717,1652,3,ok
gpt_b040_P2_r1,10,A,gpt,3.096807,3.373135,0.276328,838,1,ok
human_hard_rusltc_0001,10,H,,3.121580,3.163572,0.041992,772,1,ok
human_hard_rusltc_0002,10,H,,2.809068,2.928044,0.118976,981,1,ok
human_hard_rusltc_0003,10,H,,3.290485,3.359347,0.068862,1746,3,ok
human_hard_rusltc_0055,10,H,,2.648841,2.844122,0.195281,815,1,ok
human_hard_rusltc_0068,10,H,,2.655230,2.795931,0.140701,1042,2,ok
human_hard_rusltc_0073,10,H,,3.063622,3.105074,0.041452,1741,3,ok
human_news_buriy_2014_0027,10,H,,2.947762,3.109100,0.161338,879,1,ok
human_news_buriy_2014_0034,10,H,,2.498666,2.713707,0.215041,1341,2,ok
human_news_gazeta_0031,10,H,,2.431371,2.526915,0.095544,1042,2,ok
human_news_gazeta_0040,10,H,,2.576308,2.605806,0.029498,985,1,ok
human_news_lenta_0001,10,H,,2.672448,2.690020,0.017572,790,1,ok
human_news_lenta_0016,10,H,,2.354553,2.540582,0.186029,1287,2,ok
human_prose_taiga_arzamas_0050,10,H,,2.864683,2.982728,0.118045,1666,3,ok
human_prose_taiga_arzamas_0051,10,H,,2.834851,2.954705,0.119854,1806,3,ok
human_prose_taiga_magazines_0048,10,H,,3.268327,3.532889,0.264562,4625,9,ok
human_prose_taiga_magazines_0053,10,H,,3.980711,4.095265,0.114554,1209,2,ok
human_prose_taiga_proza_0034,10,H,,2.506692,2.796007,0.289315,862,1,ok
human_prose_taiga_proza_0056,10,H,,3.359663,3.519279,0.159616,1435,2,ok
human_science_cyberleninka_0026,10,H,,2.455090,2.800817,0.345727,2323,4,ok
human_science_cyberleninka_0031,10,H,,2.320432,2.482937,0.162505,1787,3,ok
human_science_cyberleninka_0032,10,H,,2.172165,2.283289,0.111124,1478,2,ok
human_science_cyberleninka_0053,10,H,,2.257457,2.337880,0.080423,5702,11,ok
human_science_spbgu_0024,10,H,,2.412085,2.950807,0.538722,4026,7,ok
human_science_urfu_0028,10,H,,2.470474,2.585639,0.115165,5675,11,ok
human_seo_alaev_0004,10,H,,3.119545,3.284878,0.165333,2463,4,ok
human_seo_convertmonster_0001,10,H,,2.423620,2.669329,0.245709,665,1,ok
human_seo_devaka_ru_0004,10,H,,3.158421,3.221700,0.063279,1263,2,ok
human_seo_drmax_0002,10,H,,3.434824,3.640486,0.205662,2387,4,ok
human_seo_drmax_su_0001,10,H,,3.052851,3.241647,0.188796,1693,3,ok
human_seo_labrika_0002,10,H,,2.414394,2.769935,0.355541,1757,3,ok
nemotron_b012_P1_r1,10,A,nemotron,3.423155,3.476829,0.053674,2173,4,ok
nemotron_b015_P3_r2,10,A,nemotron,3.022644,2.978912,-0.043732,2123,4,ok
nemotron_b016_P1_r1,10,A,nemotron,3.486115,3.605853,0.119738,2033,3,ok
nemotron_b022_P3_r2,10,A,nemotron,3.302259,3.458480,0.156221,2400,4,ok
nemotron_b028_P1_r2,10,A,nemotron,3.295929,3.430856,0.134927,3245,6,ok
nemotron_b033_P2_r2,10,A,nemotron,3.343024,3.561269,0.218245,577,1,ok
nemotron_b038_P1_r2,10,A,nemotron,3.300879,3.578568,0.277689,3150,6,ok
real_claude_b015_P2_r1,10,A,real_claude,3.276098,3.448336,0.172238,1523,2,ok
real_claude_b018_P3_r2,10,A,real_claude,3.522522,3.784107,0.261585,1597,3,ok
real_claude_b024_P1_r2,10,A,real_claude,3.401401,3.613893,0.212492,1587,3,ok
real_claude_b025_P2_r1,10,A,real_claude,3.284271,3.441533,0.157262,861,1,ok
real_claude_b034_P2_r2,10,A,real_claude,3.274455,3.346598,0.072143,1005,1,ok
real_claude_b040_P3_r2,10,A,real_claude,3.478730,3.619074,0.140344,1528,2,ok
real_claude_b042_P3_r2,10,A,real_claude,3.311909,3.497299,0.185390,1532,2,ok
real_claude_b045_P3_r1,10,A,real_claude,3.477903,3.648264,0.170361,1942,3,ok
deepseek_pro_b002_P3_r1,11,A,deepseek_pro,2.932154,2.447988,-0.484166,2747,5,ok
deepseek_pro_b004_P2_r1,11,A,deepseek_pro,2.962420,2.546579,-0.415841,3086,6,ok
deepseek_pro_b007_P3_r2,11,A,deepseek_pro,3.047212,2.608156,-0.439056,3394,6,ok
deepseek_pro_b009_P1_r1,11,A,deepseek_pro,2.999451,2.492263,-0.507188,3773,7,ok
deepseek_pro_b009_P2_r2,11,A,deepseek_pro,2.931191,2.496894,-0.434297,2291,4,ok
deepseek_pro_b021_P2_r2,11,A,deepseek_pro,2.957460,2.461318,-0.496142,876,1,ok
deepseek_pro_b037_P2_r2,11,A,deepseek_pro,3.110237,2.596024,-0.514213,2150,4,ok
deepseek_pro_b038_P1_r2,11,A,deepseek_pro,3.184690,2.749519,-0.435171,3807,7,ok
gpt_b004_P1_r1,11,A,gpt,3.141123,2.669189,-0.471934,2389,4,ok
gpt_b004_P3_r1,11,A,gpt,3.241070,2.761317,-0.479753,2367,4,ok
gpt_b021_P3_r2,11,A,gpt,3.423261,2.910889,-0.512372,2376,4,ok
gpt_b026_P1_r1,11,A,gpt,2.959196,2.594645,-0.364551,2696,5,ok
gpt_b028_P2_r1,11,A,gpt,3.233938,2.852414,-0.381524,1326,2,ok
gpt_b031_P1_r1,11,A,gpt,2.903248,2.505389,-0.397859,2700,5,ok
