estimand,contrast,status,n_pairs,dropped_pairs,n_clusters,mean_diff,ci_low,ci_high,p_bootstrap,alpha,note
full,P3-P1,exploratory,359,0,45,0.5153,0.1806,0.8552,0.0032,0.0250,"шкала выраженности стилевых признаков, не вероятность происхождения"
net,P3-P1,not available,,,,,,,,,суждение о стиле не разлагается на структурную и нестилевую части
full,P2-P1,exploratory,360,0,45,0.5125,0.0181,1.0472,0.0392,0.0250,"шкала выраженности стилевых признаков, не вероятность происхождения"
net,P2-P1,not available,,,,,,,,,суждение о стиле не разлагается на структурную и нестилевую части
